Countries Code,Countries,Gender identity (7 categories) Code,Gender identity (7 categories),Highest level of qualification (8 categories) Code,Highest level of qualification (8 categories),Observation
E92000001,England,-8,Does not apply,-8,Does not apply,0
E92000001,England,-8,Does not apply,0,No qualifications,0
E92000001,England,-8,Does not apply,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",0
E92000001,England,-8,Does not apply,2,"Level 2 qualifications: 5 or more GCSEs (A* to C or 9 to 4), O levels (passes), CSEs (grade 1), School Certification, 1 A level, 2 to 3 AS levels, VCEs, Intermediate or Higher Diploma, Welsh Baccalaureate Intermediate Diploma, NVQ level 2, Intermediate GNVQ, City and Guilds Craft, BTEC First or General Diploma, RSA Diploma",0
E92000001,England,-8,Does not apply,3,Apprenticeship,0
E92000001,England,-8,Does not apply,4,"Level 3 qualifications: 2 or more A levels or VCEs, 4 or more AS levels, Higher School Certificate, Progression or Advanced Diploma, Welsh Baccalaureate Advance Diploma, NVQ level 3; Advanced GNVQ, City and Guilds Advanced Craft, ONC, OND, BTEC National, RSA Advanced Diploma",0
E92000001,England,-8,Does not apply,5,"Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",0
E92000001,England,-8,Does not apply,6,"Other: vocational or work-related qualifications, other qualifications achieved in England or Wales, qualifications achieved outside England or Wales (equivalent not stated or unknown)",0
E92000001,England,1,Gender identity the same as sex registered at birth,-8,Does not apply,0
E92000001,England,1,Gender identity the same as sex registered at birth,0,No qualifications,7521210
E92000001,England,1,Gender identity the same as sex registered at birth,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",4189783
E92000001,England,1,Gender identity the same as sex registered at birth,2,"Level 2 qualifications: 5 or more GCSEs (A* to C or 9 to 4), O levels (passes), CSEs (grade 1), School Certification, 1 A level, 2 to 3 AS levels, VCEs, Intermediate or Higher Diploma, Welsh Baccalaureate Intermediate Diploma, NVQ level 2, Intermediate GNVQ, City and Guilds Craft, BTEC First or General Diploma, RSA Diploma",5780603
E92000001,England,1,Gender identity the same as sex registered at birth,3,Apprenticeship,2288648
E92000001,England,1,Gender identity the same as sex registered at birth,4,"Level 3 qualifications: 2 or more A levels or VCEs, 4 or more AS levels, Higher School Certificate, Progression or Advanced Diploma, Welsh Baccalaureate Advance Diploma, NVQ level 3; Advanced GNVQ, City and Guilds Advanced Craft, ONC, OND, BTEC National, RSA Advanced Diploma",7335369
E92000001,England,1,Gender identity the same as sex registered at birth,5,"Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",14730785
E92000001,England,1,Gender identity the same as sex registered at birth,6,"Other: vocational or work-related qualifications, other qualifications achieved in England or Wales, qualifications achieved outside England or Wales (equivalent not stated or unknown)",1155934
E92000001,England,2,Gender identity different from sex registered at birth but no specific identity given,-8,Does not apply,0
E92000001,England,2,Gender identity different from sex registered at birth but no specific identity given,0,No qualifications,46372
E92000001,England,2,Gender identity different from sex registered at birth but no specific identity given,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",11170
E92000001,England,2,Gender identity different from sex registered at birth but no specific identity given,2,"Level 2 qualifications: 5 or more GCSEs (A* to C or 9 to 4), O levels (passes), CSEs (grade 1), School Certification, 1 A level, 2 to 3 AS levels, VCEs, Intermediate or Higher Diploma, Welsh Baccalaureate Intermediate Diploma, NVQ level 2, Intermediate GNVQ, City and Guilds Craft, BTEC First or General Diploma, RSA Diploma",9761
E92000001,England,2,Gender identity different from sex registered at birth but no specific identity given,3,Apprenticeship,7494
E92000001,England,2,Gender identity different from sex registered at birth but no specific identity given,4,"Level 3 qualifications: 2 or more A levels or VCEs, 4 or more AS levels, Higher School Certificate, Progression or Advanced Diploma, Welsh Baccalaureate Advance Diploma, NVQ level 3; Advanced GNVQ, City and Guilds Advanced Craft, ONC, OND, BTEC National, RSA Advanced Diploma",10427
